elapsed_sec;best_cost;iter
15.052;960921.00;0
16.107;958116.00;12
17.128;958116.00;20
18.196;958116.00;28
19.210;958116.00;37
20.214;956999.00;46
21.264;955584.00;56
22.340;955584.00;65
23.402;955584.00;73
24.536;955584.00;83
25.569;955584.00;93
26.654;955584.00;103
27.671;955584.00;114
28.742;954970.00;125
29.825;954970.00;136
30.938;954970.00;147
31.997;954970.00;159
33.040;954836.00;173
34.105;954787.00;185
35.158;954226.00;195
36.205;954226.00;207
37.246;954226.00;216
38.259;954226.00;227
39.367;954226.00;240
40.429;954226.00;249
41.482;954226.00;257
42.514;953072.00;267
43.598;953072.00;277
44.654;953072.00;288
45.763;953072.00;297
46.843;953072.00;306
48.003;953072.00;316
49.061;952772.00;327
50.165;952772.00;338
51.245;952772.00;348
52.252;952772.00;358
53.355;952772.00;370
54.402;952772.00;380
55.443;952772.00;390
56.508;952772.00;399
57.567;952772.00;410
58.691;952368.00;420
59.791;952037.00;431
60.882;952037.00;444
61.997;952037.00;455
63.071;952037.00;465
64.130;952037.00;475
65.250;952037.00;486
66.279;952037.00;497
67.302;952037.00;509
68.362;952037.00;521
69.474;952037.00;530
70.534;952037.00;540
71.606;951341.00;550
72.658;951341.00;561
73.664;951341.00;571
74.721;951296.00;579
75.808;951296.00;591
76.867;951296.00;601
77.909;951296.00;611
78.940;951296.00;621
79.958;951296.00;631
80.996;951296.00;642
82.012;951296.00;650
83.059;951296.00;660
84.129;951296.00;670
85.168;951296.00;681
86.214;951296.00;692
87.222;951296.00;702
88.271;951296.00;711
89.378;951296.00;722
90.546;951296.00;733
91.640;951296.00;744
92.757;951296.00;754
93.816;951296.00;764
94.931;951296.00;774
95.996;951296.00;786
97.054;950824.00;797
98.061;950824.00;808
99.129;950824.00;817
100.182;950814.00;828
101.192;950814.00;838
102.235;950696.00;848
103.260;950696.00;859
104.352;950696.00;870
105.463;950696.00;881
106.496;950696.00;893
107.525;950696.00;902
108.652;950696.00;912
109.725;950312.00;922
110.778;950312.00;932
111.788;950312.00;941
112.792;950312.00;951
113.798;950312.00;961
114.825;950312.00;972
115.829;950312.00;981
116.831;950312.00;992
117.944;950312.00;1004
118.969;950312.00;1014
120.029;950312.00;1025
121.059;950312.00;1035
122.095;950312.00;1045
123.133;950312.00;1058
124.158;950312.00;1070
125.219;950312.00;1080
126.256;950312.00;1091
127.323;950312.00;1100
128.433;950312.00;1112
129.447;950312.00;1123
130.504;950312.00;1134
131.517;950312.00;1145
132.582;950312.00;1155
133.629;950312.00;1167
134.629;950312.00;1179
135.689;950312.00;1189
136.722;950312.00;1198
137.824;950312.00;1210
138.877;950312.00;1219
139.938;950312.00;1230
141.106;950312.00;1241
142.146;950312.00;1251
143.204;950312.00;1263
144.248;950077.00;1275
145.318;950077.00;1286
146.366;950077.00;1295
147.383;950077.00;1305
148.530;950077.00;1317
149.536;950077.00;1330
150.662;950077.00;1341
151.737;950077.00;1352
152.765;950077.00;1363
153.827;950077.00;1373
154.949;950077.00;1383
156.012;950077.00;1393
157.041;950077.00;1404
158.118;950077.00;1416
159.236;949911.00;1426
160.341;949911.00;1435
161.473;949911.00;1446
162.525;949911.00;1457
163.532;949911.00;1468
164.552;949911.00;1476
165.599;949911.00;1488
166.690;949911.00;1499
167.763;949911.00;1509
168.851;949911.00;1521
169.924;949911.00;1530
170.976;949911.00;1540
172.008;949911.00;1550
173.066;949911.00;1559
174.194;949911.00;1570
175.273;949911.00;1582
176.447;949911.00;1594
177.488;949911.00;1604
178.531;949911.00;1615
179.603;949911.00;1626
180.655;949911.00;1636
181.686;949911.00;1646
182.737;949911.00;1658
183.885;949911.00;1668
184.894;949911.00;1675
186.018;949911.00;1686
187.047;949911.00;1697
188.059;949911.00;1707
189.121;949911.00;1718
190.205;949911.00;1730
191.245;949911.00;1741
192.274;949911.00;1751
193.343;949911.00;1760
194.358;949911.00;1771
195.436;949911.00;1783
196.475;949911.00;1791
197.560;949911.00;1802
198.659;949911.00;1814
199.685;949911.00;1824
200.733;949911.00;1838
201.736;949911.00;1848
202.856;949911.00;1859
203.877;949911.00;1866
205.028;949909.00;1877
206.111;949909.00;1887
207.160;949909.00;1898
208.211;949909.00;1909
209.230;949909.00;1918
210.342;949909.00;1926
211.399;949616.00;1935
212.488;949616.00;1945
213.490;949616.00;1954
214.552;949616.00;1962
215.687;949616.00;1971
216.810;949616.00;1982
217.856;949616.00;1992
218.923;949616.00;2001
220.046;949616.00;2012
221.116;949616.00;2021
222.177;949616.00;2031
223.309;949616.00;2043
224.424;949616.00;2053
225.429;949616.00;2063
226.430;949616.00;2074
227.490;949616.00;2084
228.522;949616.00;2095
229.574;949616.00;2106
230.702;949616.00;2118
231.834;949616.00;2130
232.916;949616.00;2141
233.993;949616.00;2152
235.035;949616.00;2163
236.083;949616.00;2173
237.177;949616.00;2182
238.202;949616.00;2194
239.320;949616.00;2204
240.363;949616.00;2216
241.415;949616.00;2228
242.449;949616.00;2238
243.491;949616.00;2248
244.528;949616.00;2257
245.592;949616.00;2269
246.646;949616.00;2278
247.673;949616.00;2287
248.804;949616.00;2299
249.854;949616.00;2311
250.943;949616.00;2319
251.958;949616.00;2328
253.089;949616.00;2339
254.188;949616.00;2347
255.243;949616.00;2358
256.278;949616.00;2368
257.377;949616.00;2379
258.438;949616.00;2388
259.515;949616.00;2397
260.550;949616.00;2407
261.554;949616.00;2415
262.605;949616.00;2427
263.711;949616.00;2437
264.819;949616.00;2448
265.875;949616.00;2457
266.901;949616.00;2466
268.024;949616.00;2479
269.092;949616.00;2490
270.099;949504.00;2501
271.188;949504.00;2510
272.307;949504.00;2520
273.314;949504.00;2531
274.399;949504.00;2541
275.504;949477.00;2554
276.536;949477.00;2565
277.666;949477.00;2578
278.677;949477.00;2587
279.754;949477.00;2598
280.827;949477.00;2607
281.838;949477.00;2619
282.891;949477.00;2629
283.986;949477.00;2639
285.006;949111.00;2649
286.073;949111.00;2659
287.137;949111.00;2669
288.239;949111.00;2680
289.289;949111.00;2690
290.318;949111.00;2701
291.403;949111.00;2712
292.518;949111.00;2723
293.606;949111.00;2733
294.712;949111.00;2741
295.715;949111.00;2750
296.766;949111.00;2758
297.809;949111.00;2768
298.960;949111.00;2779
299.961;949111.00;2790
301.019;949111.00;2800
302.057;949111.00;2813
303.103;949111.00;2825
304.173;949111.00;2837
305.249;949111.00;2849
306.345;949111.00;2859
307.385;949111.00;2869
308.389;949111.00;2879
309.446;949111.00;2889
310.553;949111.00;2901
311.611;949111.00;2913
312.685;949111.00;2922
313.695;949111.00;2932
314.720;949111.00;2941
315.747;949111.00;2952
316.753;949111.00;2962
317.775;949111.00;2973
318.832;949111.00;2983
319.848;949111.00;2995
320.880;949111.00;3006
321.926;949111.00;3016
322.970;949111.00;3026
324.026;949111.00;3036
325.097;949111.00;3046
326.161;949111.00;3056
327.163;949111.00;3066
328.210;949111.00;3076
329.340;949111.00;3087
330.418;949111.00;3098
331.454;949111.00;3111
332.456;949111.00;3120
333.509;949111.00;3129
334.551;949111.00;3139
335.639;949111.00;3151
336.651;949111.00;3161
337.697;949111.00;3171
338.747;949111.00;3181
339.826;949111.00;3192
340.933;949111.00;3202
341.941;949111.00;3211
343.001;949111.00;3223
344.057;949111.00;3234
345.135;949111.00;3244
346.156;949111.00;3252
347.185;949111.00;3263
348.253;949111.00;3272
349.359;949111.00;3282
350.372;949111.00;3293
351.380;949111.00;3303
352.457;949111.00;3314
353.458;949111.00;3324
354.578;949111.00;3336
355.686;949111.00;3346
356.784;949111.00;3356
357.840;949111.00;3367
358.849;949111.00;3377
359.868;949111.00;3388
360.928;949111.00;3398
361.977;949111.00;3408
363.001;949111.00;3418
364.042;949111.00;3429
365.099;949111.00;3439
366.178;949111.00;3449
367.205;949111.00;3460
368.345;949111.00;3473
369.482;949111.00;3485
370.538;949111.00;3497
371.550;949111.00;3505
372.584;949111.00;3517
373.645;949111.00;3527
374.678;949111.00;3538
375.777;949111.00;3551
376.807;949111.00;3561
377.833;949111.00;3571
378.839;949111.00;3582
379.942;949111.00;3591
381.043;949111.00;3601
382.115;949111.00;3612
383.151;949111.00;3623
384.179;949111.00;3636
385.217;949111.00;3646
386.228;949111.00;3655
387.331;949111.00;3665
388.354;949111.00;3675
389.443;949111.00;3685
390.497;949111.00;3697
391.504;949111.00;3707
392.557;949111.00;3718
393.658;949111.00;3729
394.790;949111.00;3738
395.799;949111.00;3747
396.812;949111.00;3758
397.850;949111.00;3768
398.945;949111.00;3779
399.960;949111.00;3788
401.084;949111.00;3799
402.101;949111.00;3808
403.146;949111.00;3817
404.221;949111.00;3827
405.325;949111.00;3837
406.349;949111.00;3846
