elapsed_sec;best_cost;iter
72.832;2005089.00;0
73.989;2004034.00;2
75.480;2003196.00;5
76.515;2003196.00;7
77.519;2003120.00;9
78.786;2002775.00;12
79.790;2002775.00;14
80.967;2002775.00;17
82.303;2000520.00;20
83.381;2000520.00;23
84.718;2000284.00;26
85.939;2000284.00;29
87.144;2000284.00;32
88.397;2000284.00;35
89.420;2000284.00;37
90.848;1999585.00;40
92.126;1999585.00;43
93.389;1999585.00;46
94.581;1996553.00;48
95.751;1996553.00;51
97.078;1996466.00;54
98.356;1996466.00;57
99.825;1994655.00;60
101.215;1994655.00;63
102.667;1994655.00;67
104.157;1994655.00;70
105.684;1994655.00;73
106.796;1994655.00;76
108.322;1992083.00;79
109.421;1992083.00;82
110.737;1992083.00;85
112.082;1992083.00;88
113.393;1992083.00;91
114.526;1992083.00;93
115.624;1992083.00;96
116.858;1992083.00;99
118.159;1992083.00;102
119.915;1992083.00;105
121.159;1992083.00;108
122.582;1992083.00;111
123.682;1992083.00;114
124.885;1992083.00;116
125.911;1992083.00;119
127.144;1992083.00;122
128.402;1991448.00;124
129.624;1991448.00;127
130.785;1991448.00;130
131.974;1991448.00;133
132.987;1991448.00;135
134.177;1991448.00;137
135.435;1991448.00;140
136.536;1991448.00;143
137.639;1991448.00;145
138.676;1991448.00;147
140.132;1991448.00;150
141.301;1991448.00;152
142.435;1991448.00;156
143.889;1991448.00;159
145.133;1991448.00;162
146.154;1991448.00;164
147.216;1991448.00;167
148.269;1991448.00;169
149.534;1991448.00;172
150.742;1991448.00;175
152.078;1991448.00;179
153.275;1991448.00;183
154.335;1991448.00;186
155.991;1991448.00;189
157.301;1991448.00;192
158.544;1991448.00;194
159.699;1991448.00;197
160.728;1991448.00;200
162.297;1991448.00;203
163.514;1991448.00;206
164.776;1991448.00;209
166.357;1991448.00;213
167.377;1991448.00;216
168.773;1991448.00;219
170.049;1991448.00;222
171.551;1990763.00;225
172.693;1990763.00;228
173.998;1990763.00;231
175.358;1990763.00;234
176.535;1990763.00;236
177.846;1990763.00;239
179.048;1990763.00;242
180.158;1990763.00;245
181.209;1990763.00;247
182.338;1989752.00;250
183.681;1989752.00;253
185.289;1989752.00;256
186.355;1989752.00;258
187.783;1989752.00;261
188.850;1989752.00;264
190.073;1989752.00;267
191.376;1989752.00;270
192.678;1989752.00;273
193.713;1989752.00;275
195.037;1989752.00;278
196.326;1989752.00;281
197.353;1989752.00;284
198.654;1989752.00;287
199.742;1989752.00;290
200.822;1989752.00;292
202.172;1989752.00;296
203.215;1989752.00;298
204.745;1989752.00;301
206.291;1988881.00;304
207.382;1988881.00;306
208.950;1988881.00;309
210.210;1988881.00;312
211.559;1988824.00;315
213.084;1988389.00;318
214.185;1987459.00;320
215.842;1987459.00;323
217.417;1987459.00;325
218.969;1987459.00;328
220.130;1987459.00;331
