elapsed_sec;best_cost;iter
73.855;2006480.00;0
74.994;2004385.00;2
76.274;2004385.00;5
77.489;2004385.00;8
78.644;2004385.00;11
79.696;2004385.00;14
80.863;2004385.00;17
82.195;2004271.00;20
83.252;2004271.00;23
84.546;2001231.00;26
85.715;1999741.00;28
87.000;1999741.00;31
88.507;1999730.00;35
89.753;1999730.00;38
91.165;1998858.00;41
92.435;1997678.00;44
93.931;1997678.00;47
94.936;1997678.00;50
95.984;1997678.00;52
97.434;1997678.00;55
98.896;1997678.00;58
100.202;1997678.00;61
101.744;1997678.00;64
102.982;1997678.00;67
104.190;1997678.00;70
105.663;1996635.00;73
106.945;1996635.00;77
108.295;1994655.00;80
109.652;1994655.00;83
110.888;1994655.00;85
112.035;1993769.00;87
113.473;1993769.00;90
114.564;1993769.00;92
115.604;1993769.00;95
116.760;1993769.00;98
117.907;1992083.00;100
119.163;1992083.00;103
120.645;1992083.00;106
121.710;1992083.00;109
123.051;1992083.00;112
124.102;1992083.00;115
125.290;1992083.00;118
126.314;1992083.00;120
127.847;1992083.00;123
129.034;1992083.00;125
130.107;1992083.00;127
131.111;1992083.00;129
132.596;1992083.00;132
133.621;1989904.00;134
135.285;1989904.00;137
136.911;1989904.00;140
138.214;1989904.00;144
139.243;1989904.00;147
140.549;1989904.00;150
141.724;1989904.00;152
143.013;1989904.00;155
144.381;1989904.00;158
145.945;1989904.00;161
147.531;1989904.00;164
149.017;1989904.00;167
150.089;1989904.00;169
151.334;1989904.00;171
152.572;1989904.00;174
153.880;1989904.00;177
155.091;1989904.00;180
156.572;1989904.00;183
157.633;1989904.00;185
158.884;1988910.00;187
160.488;1988910.00;190
162.050;1988910.00;193
163.214;1988910.00;195
164.472;1988910.00;198
166.039;1988910.00;202
167.431;1988910.00;205
168.462;1988910.00;208
169.750;1988910.00;210
171.150;1988910.00;213
172.303;1988910.00;216
173.798;1988457.00;219
175.011;1988457.00;221
176.048;1988457.00;223
177.332;1988457.00;226
178.645;1988457.00;229
179.749;1988457.00;231
180.813;1988457.00;233
182.077;1988457.00;235
183.228;1988364.00;238
184.482;1988364.00;240
185.612;1988364.00;242
186.690;1988364.00;244
187.813;1988364.00;246
189.258;1988364.00;249
190.572;1988364.00;252
192.029;1988364.00;255
193.387;1988364.00;258
194.785;1988364.00;261
196.100;1988279.00;264
197.200;1988279.00;267
198.267;1988279.00;269
199.470;1988279.00;271
200.548;1988279.00;273
202.072;1988279.00;276
203.233;1988279.00;278
204.468;1988279.00;281
205.528;1988279.00;283
206.548;1988279.00;285
207.998;1988279.00;288
209.193;1988279.00;291
210.712;1988279.00;294
211.921;1988279.00;297
213.201;1988279.00;300
214.355;1987431.00;302
215.638;1987431.00;305
217.030;1987431.00;307
218.145;1987431.00;309
219.346;1987431.00;311
220.501;1987227.00;313
221.540;1987227.00;316
223.072;1987227.00;319
224.221;1987227.00;322
225.233;1987180.00;324
226.508;1987180.00;326
227.673;1987180.00;328
229.096;1986964.00;330
230.262;1986964.00;332
231.666;1986964.00;335
232.922;1986964.00;337
233.948;1986964.00;339
235.225;1986360.00;341
236.350;1986360.00;344
237.731;1986360.00;346
238.860;1986360.00;348
240.101;1986360.00;351
241.503;1986360.00;354
242.868;1986360.00;357
244.144;1986360.00;359
245.582;1986360.00;362
246.759;1986360.00;365
247.911;1986360.00;368
249.146;1986360.00;370
250.313;1986360.00;372
251.514;1986360.00;375
252.762;1986360.00;378
253.896;1986360.00;380
255.183;1986360.00;383
256.198;1986360.00;386
257.764;1986360.00;389
259.004;1986360.00;393
260.419;1986360.00;396
262.101;1986360.00;399
263.247;1986360.00;402
264.697;1986360.00;405
266.107;1986360.00;407
267.585;1986360.00;410
268.676;1986360.00;412
270.162;1986352.00;415
271.170;1986352.00;418
272.440;1986352.00;421
273.594;1986352.00;424
274.831;1986352.00;427
276.045;1986352.00;429
277.154;1986352.00;432
278.366;1986352.00;434
279.613;1986352.00;437
280.750;1986352.00;440
282.130;1986352.00;443
283.291;1985774.00;445
284.299;1985774.00;447
285.599;1985774.00;450
286.911;1985774.00;453
287.974;1985774.00;455
289.564;1985774.00;458
290.755;1985774.00;460
292.059;1985774.00;463
293.224;1985774.00;466
294.434;1985774.00;468
295.685;1985774.00;471
296.849;1985774.00;473
297.878;1985774.00;476
298.990;1985774.00;479
300.336;1985774.00;482
302.047;1985774.00;485
303.483;1985774.00;488
304.991;1985774.00;490
306.576;1985774.00;492
307.638;1985774.00;494
308.989;1985774.00;496
310.010;1985774.00;498
311.205;1985774.00;501
312.611;1985774.00;504
314.042;1985774.00;507
315.411;1985774.00;510
316.814;1985774.00;513
318.358;1985774.00;516
319.703;1985774.00;519
320.756;1985774.00;522
321.931;1985774.00;525
323.162;1985774.00;528
324.311;1985774.00;530
325.459;1985774.00;533
326.740;1985774.00;536
327.942;1985774.00;539
329.014;1985555.00;542
330.214;1985555.00;545
331.703;1985555.00;548
332.841;1985555.00;550
334.000;1985555.00;553
335.183;1985555.00;556
336.554;1985555.00;559
337.776;1985555.00;562
339.047;1985555.00;565
340.337;1985555.00;567
341.562;1985555.00;570
343.025;1985555.00;573
344.483;1985555.00;577
345.635;1985555.00;580
346.857;1985555.00;583
348.182;1985555.00;586
349.513;1985555.00;589
350.664;1985555.00;592
351.869;1985555.00;595
353.119;1985555.00;598
354.393;1985555.00;601
355.635;1985555.00;603
357.136;1985555.00;606
358.304;1985555.00;609
359.785;1985555.00;612
360.873;1985555.00;614
362.238;1985555.00;617
363.363;1985555.00;619
364.589;1985555.00;621
365.652;1985555.00;624
366.882;1985555.00;627
368.095;1985555.00;630
369.329;1985555.00;633
370.735;1985555.00;636
372.214;1985555.00;639
373.457;1985555.00;642
374.486;1985555.00;645
375.933;1985555.00;648
376.962;1985555.00;651
378.220;1985555.00;654
379.425;1985555.00;657
380.779;1985555.00;661
382.183;1985555.00;664
383.700;1985555.00;668
384.848;1985555.00;671
386.340;1985555.00;674
387.660;1985555.00;677
389.074;1985555.00;680
390.236;1985555.00;683
391.333;1985555.00;685
392.409;1985555.00;688
393.863;1985555.00;691
394.909;1985555.00;694
395.949;1985555.00;696
397.191;1985555.00;699
398.469;1984927.00;703
399.633;1984927.00;706
400.778;1984927.00;708
401.953;1984927.00;710
403.191;1984927.00;713
404.272;1984927.00;715
405.540;1984927.00;718
406.663;1984927.00;721
407.975;1984927.00;724
409.480;1984927.00;727
410.642;1984927.00;729
411.970;1984927.00;732
413.243;1984927.00;734
414.289;1984927.00;736
