elapsed_sec;best_cost;iter
31.839;369900.00;0
32.868;369671.00;7
33.925;369671.00;17
34.962;369671.00;26
35.966;369549.00;35
36.971;369488.00;44
38.079;369348.00;53
39.090;369348.00;63
40.123;368366.00;74
41.159;368366.00;85
42.179;368366.00;97
43.219;368366.00;105
44.286;368366.00;116
45.299;368366.00;125
46.399;368366.00;137
47.424;368366.00;146
48.554;368366.00;154
49.579;368366.00;163
50.601;368366.00;173
51.685;368366.00;183
52.775;368366.00;192
53.906;368366.00;201
54.953;368366.00;210
56.062;368366.00;220
57.143;368366.00;229
58.242;368366.00;238
59.387;368366.00;249
60.481;368366.00;259
61.574;368366.00;269
62.585;368353.00;277
63.587;368353.00;286
64.595;368353.00;294
65.611;368341.00;303
66.772;368341.00;312
67.833;368341.00;320
68.855;368341.00;328
69.928;368341.00;336
70.994;367878.00;347
71.996;367878.00;356
73.060;367878.00;366
74.075;367878.00;376
75.198;367878.00;387
76.288;367872.00;396
77.300;367872.00;405
78.368;367872.00;415
79.436;367846.00;425
80.526;367846.00;435
81.584;367846.00;443
82.640;367846.00;452
83.667;367846.00;460
84.719;367846.00;469
85.770;367846.00;478
86.945;367846.00;488
87.988;367846.00;499
89.011;367846.00;507
90.042;367846.00;517
91.100;367846.00;527
92.119;367846.00;537
93.151;367846.00;546
94.233;367846.00;556
95.261;367846.00;566
96.371;367846.00;576
97.495;367846.00;586
98.617;367846.00;595
99.628;367846.00;605
100.656;367846.00;615
101.710;367768.00;624
102.716;367768.00;634
103.751;367768.00;644
104.878;367768.00;654
105.954;367768.00;663
106.976;367768.00;672
108.029;367768.00;681
109.042;367719.00;691
110.094;367719.00;701
111.144;367479.00;711
112.213;367479.00;720
113.357;367479.00;730
114.392;367479.00;739
115.411;367479.00;746
116.519;367479.00;755
117.565;367479.00;765
118.586;367479.00;774
119.598;367479.00;782
120.624;367479.00;792
121.632;367479.00;801
122.716;367479.00;810
123.744;367479.00;819
124.748;367479.00;828
125.872;367479.00;837
126.972;367479.00;846
128.015;367479.00;854
129.043;367479.00;863
130.142;367479.00;874
131.317;367479.00;884
132.423;367479.00;894
133.432;367479.00;905
134.479;367479.00;915
135.501;367464.00;925
136.531;367464.00;934
137.569;367464.00;942
138.704;367464.00;952
139.866;367464.00;961
141.042;367464.00;971
142.169;367464.00;980
143.192;367464.00;988
144.289;367464.00;997
145.344;367464.00;1007
146.427;367464.00;1015
147.445;367464.00;1025
148.494;367464.00;1035
149.609;367434.00;1045
150.735;367434.00;1057
151.875;367434.00;1067
153.007;367434.00;1077
154.105;367434.00;1086
155.221;367434.00;1096
156.246;367434.00;1106
157.313;367434.00;1116
158.336;367434.00;1128
159.430;367434.00;1139
160.513;367434.00;1148
161.528;367434.00;1157
162.565;367434.00;1165
163.647;367434.00;1175
164.763;367434.00;1185
165.866;367434.00;1198
166.899;367434.00;1210
167.911;367434.00;1222
168.973;367434.00;1233
170.063;367434.00;1242
171.168;367434.00;1252
172.224;367434.00;1261
173.244;367434.00;1270
174.295;367434.00;1279
175.320;367434.00;1288
176.329;367434.00;1298
177.368;367360.00;1307
178.385;367360.00;1318
179.439;367360.00;1328
180.512;367360.00;1337
181.517;367360.00;1346
182.567;367360.00;1356
183.583;367360.00;1365
184.631;367360.00;1375
185.651;367360.00;1386
186.735;367360.00;1397
187.816;367360.00;1408
188.901;367360.00;1418
189.913;367360.00;1429
191.002;367360.00;1441
192.068;367360.00;1453
193.113;367360.00;1463
194.161;367360.00;1473
195.271;367360.00;1483
196.378;367360.00;1492
197.433;367360.00;1502
198.535;367360.00;1512
199.551;367360.00;1519
200.643;367360.00;1528
201.762;367360.00;1539
202.799;367360.00;1549
203.857;367360.00;1559
204.867;367360.00;1567
205.971;367360.00;1578
206.983;367360.00;1587
207.994;367360.00;1599
209.067;367360.00;1608
210.088;367360.00;1617
211.142;367360.00;1626
212.249;367360.00;1637
213.294;367261.00;1646
214.344;367261.00;1657
215.376;367261.00;1666
216.465;367261.00;1677
217.474;367261.00;1687
218.520;367261.00;1696
219.527;367261.00;1706
220.530;367155.00;1716
221.540;367155.00;1725
222.574;367155.00;1735
223.737;367155.00;1745
224.823;367155.00;1754
225.920;367155.00;1764
226.949;367155.00;1775
227.996;367155.00;1784
229.077;367155.00;1795
230.160;367155.00;1806
231.183;367155.00;1817
232.256;367155.00;1829
233.354;367155.00;1840
234.445;367155.00;1849
235.482;367155.00;1859
236.599;367155.00;1869
237.676;367155.00;1880
238.697;367155.00;1890
239.754;367155.00;1900
240.859;367155.00;1911
241.916;367155.00;1920
242.937;367155.00;1930
243.983;367155.00;1942
244.992;367155.00;1953
246.124;367155.00;1964
247.151;367155.00;1973
248.210;367155.00;1985
249.288;367155.00;1995
250.289;367155.00;2004
251.338;367155.00;2014
252.451;367155.00;2024
253.492;367155.00;2031
254.569;367155.00;2043
255.676;367155.00;2056
256.727;367155.00;2066
257.821;367155.00;2075
258.835;367155.00;2084
259.856;367155.00;2096
260.980;367155.00;2107
262.080;367155.00;2119
263.157;367155.00;2129
264.206;367155.00;2140
265.329;367155.00;2150
266.352;367155.00;2162
267.400;367155.00;2172
268.423;367155.00;2183
269.464;367155.00;2192
270.476;367155.00;2202
271.574;367155.00;2213
272.603;367155.00;2223
273.610;367155.00;2234
274.677;367155.00;2247
275.785;367155.00;2256
276.832;367155.00;2264
277.936;367155.00;2272
278.991;367155.00;2284
280.048;367155.00;2294
281.146;367155.00;2304
282.163;367155.00;2315
283.222;367155.00;2326
284.322;367155.00;2336
285.404;367155.00;2348
286.582;367155.00;2358
287.590;367155.00;2366
288.782;367155.00;2377
289.786;367155.00;2386
290.880;367155.00;2396
291.949;367155.00;2406
293.006;367155.00;2417
294.050;367155.00;2426
295.128;367155.00;2435
296.236;367155.00;2444
297.245;367155.00;2453
298.304;367155.00;2465
299.337;367155.00;2477
300.380;367155.00;2487
301.394;367155.00;2497
302.468;367155.00;2506
303.537;367155.00;2517
304.607;367155.00;2528
305.652;367155.00;2538
306.675;367155.00;2548
307.708;367155.00;2558
308.717;367155.00;2569
309.718;367155.00;2577
310.724;367155.00;2587
311.783;367134.00;2598
312.801;367134.00;2608
313.857;367134.00;2617
314.893;367134.00;2626
316.040;367134.00;2636
317.066;367134.00;2648
318.116;367134.00;2658
319.125;367134.00;2669
320.136;367134.00;2679
321.214;367134.00;2690
322.308;367134.00;2699
323.317;367134.00;2707
324.411;367069.00;2718
325.440;367069.00;2728
326.465;367069.00;2739
327.560;367069.00;2751
328.636;367069.00;2761
329.675;367010.00;2771
330.693;367010.00;2780
331.730;367010.00;2792
332.859;367010.00;2802
333.949;367010.00;2813
334.972;367010.00;2822
335.982;367010.00;2830
337.109;367010.00;2841
338.120;367010.00;2850
339.157;367010.00;2860
340.172;367010.00;2872
341.284;367010.00;2882
342.344;367010.00;2891
343.382;367010.00;2903
344.441;367010.00;2912
345.519;366991.00;2925
346.572;366991.00;2936
347.681;366991.00;2947
348.746;366991.00;2958
349.797;366991.00;2970
350.838;366991.00;2981
351.946;366991.00;2992
352.959;366991.00;3001
354.056;366991.00;3013
355.073;366991.00;3023
356.127;366991.00;3033
357.212;366991.00;3043
358.356;366991.00;3052
359.370;366991.00;3061
360.455;366991.00;3073
361.519;366991.00;3084
362.548;366991.00;3095
363.559;366991.00;3106
364.630;366991.00;3114
365.632;366991.00;3125
366.727;366991.00;3137
367.811;366991.00;3148
368.862;366991.00;3158
369.872;366991.00;3170
370.877;366970.00;3180
371.943;366970.00;3190
372.966;366970.00;3200
374.047;366970.00;3211
375.133;366970.00;3220
376.301;366970.00;3230
377.460;366970.00;3239
378.533;366970.00;3250
379.711;366970.00;3258
380.776;366970.00;3271
381.884;366959.00;3283
382.907;366917.00;3291
383.946;366917.00;3299
385.080;366917.00;3308
386.142;366917.00;3319
387.204;366917.00;3328
388.221;366917.00;3340
389.287;366917.00;3351
390.398;366917.00;3363
391.473;366917.00;3373
392.483;366917.00;3382
393.504;366917.00;3392
394.566;366917.00;3404
395.614;366917.00;3418
396.658;366917.00;3427
397.729;366917.00;3437
398.775;366917.00;3447
399.789;366917.00;3457
400.893;366917.00;3468
401.963;366917.00;3480
403.027;366917.00;3489
404.142;366917.00;3500
405.158;366917.00;3508
406.216;366917.00;3517
407.278;366917.00;3526
408.318;366917.00;3536
409.367;366917.00;3547
410.386;366917.00;3557
411.468;366917.00;3569
412.499;366917.00;3580
413.557;366917.00;3591
414.620;366917.00;3601
