elapsed_sec;best_cost;iter
31.171;369796.00;0
32.217;369796.00;9
33.316;369588.00;19
34.423;369265.00;29
35.454;369265.00;39
36.487;369265.00;48
37.567;369265.00;57
38.571;369209.00;67
39.641;369087.00;78
40.657;369087.00;86
41.827;368681.00;95
42.841;368511.00;104
43.995;368505.00;113
45.045;368505.00;121
46.116;368505.00;130
47.181;368505.00;142
48.193;368505.00;150
49.248;368505.00;160
50.331;368505.00;170
51.392;368505.00;180
52.478;368505.00;191
53.611;368505.00;202
54.627;368505.00;211
55.705;368505.00;221
56.782;368467.00;230
57.826;368467.00;238
58.903;368391.00;247
59.916;368391.00;256
60.974;368391.00;265
62.068;368391.00;275
63.255;368311.00;286
64.349;368311.00;296
65.443;368311.00;305
66.445;368284.00;314
67.514;368041.00;325
68.560;368041.00;336
69.664;368041.00;345
70.737;368041.00;356
71.860;368041.00;366
72.939;368041.00;377
73.983;368041.00;386
75.093;368041.00;397
76.198;368041.00;407
77.314;368041.00;417
78.319;368041.00;425
79.423;367991.00;436
80.509;367991.00;446
81.651;367991.00;456
82.837;367991.00;465
83.870;367991.00;476
84.929;367991.00;484
86.035;367991.00;494
87.036;367991.00;503
88.098;367991.00;511
89.190;367991.00;520
90.255;367991.00;529
91.291;367991.00;538
92.451;367991.00;547
93.628;367991.00;558
94.643;367991.00;566
95.788;367991.00;576
96.809;367991.00;585
97.810;367991.00;594
98.871;367991.00;605
99.979;367930.00;616
101.066;367930.00;627
102.163;367930.00;637
103.243;367930.00;645
104.280;367930.00;655
105.318;367930.00;662
106.347;367930.00;670
107.352;367930.00;680
108.390;367930.00;690
109.474;367930.00;700
110.583;367930.00;712
111.653;367930.00;721
112.700;367930.00;730
113.735;367930.00;740
114.776;367930.00;748
115.844;367930.00;757
116.920;367930.00;766
118.045;367930.00;776
119.112;367930.00;787
120.174;367930.00;797
121.244;367930.00;806
122.272;367930.00;816
123.364;367930.00;825
124.438;367930.00;833
125.602;367930.00;844
126.635;367930.00;853
127.649;367930.00;862
128.724;367930.00;872
129.756;367930.00;882
130.762;367930.00;891
131.782;367725.00;902
132.886;367725.00;911
133.894;367725.00;921
135.007;367725.00;930
136.128;367725.00;940
137.217;367725.00;949
138.293;367725.00;958
139.493;367725.00;969
140.554;367725.00;979
141.651;367725.00;988
142.673;367725.00;996
143.731;367725.00;1004
144.868;367725.00;1013
146.033;367725.00;1022
147.105;367725.00;1030
148.241;367725.00;1040
149.284;367725.00;1049
150.303;367725.00;1058
151.474;367725.00;1069
152.547;367699.00;1080
153.649;367699.00;1090
154.727;367699.00;1099
155.850;367699.00;1109
156.866;367699.00;1119
157.922;367699.00;1130
158.930;367699.00;1141
160.048;367699.00;1153
161.144;367543.00;1164
162.181;367543.00;1174
163.256;367543.00;1184
164.283;367543.00;1194
165.414;367543.00;1201
166.440;367543.00;1211
167.497;367543.00;1220
168.535;367543.00;1231
169.628;367543.00;1242
170.666;367543.00;1252
171.672;367543.00;1262
172.766;367543.00;1274
173.769;367543.00;1285
174.880;367543.00;1295
175.921;367543.00;1306
176.936;367543.00;1314
177.944;367543.00;1320
179.090;367543.00;1329
180.194;367543.00;1338
181.260;367543.00;1347
182.296;367543.00;1358
183.312;367543.00;1365
184.362;367543.00;1375
185.370;367543.00;1385
186.422;367543.00;1395
187.481;367543.00;1404
188.582;367543.00;1414
189.624;367543.00;1423
190.666;367543.00;1432
191.747;367543.00;1443
192.812;367543.00;1451
193.892;367543.00;1460
195.036;367543.00;1470
196.133;367543.00;1480
197.136;367543.00;1489
198.149;367543.00;1498
199.242;367543.00;1508
200.321;367543.00;1516
201.340;367543.00;1525
202.362;367543.00;1537
203.415;367543.00;1545
204.448;367543.00;1553
205.547;367543.00;1565
206.559;367543.00;1575
207.606;367543.00;1583
208.678;367543.00;1591
209.771;367543.00;1601
210.782;367543.00;1610
211.839;367543.00;1618
212.890;367543.00;1628
213.919;367543.00;1638
214.941;367536.00;1648
215.953;367536.00;1656
217.090;367536.00;1665
218.163;367536.00;1675
219.198;367536.00;1685
220.246;367536.00;1694
221.353;367536.00;1704
222.431;367536.00;1715
223.559;367536.00;1727
224.614;367536.00;1736
225.738;367447.00;1748
226.856;367447.00;1757
227.923;367447.00;1767
228.960;367447.00;1778
230.122;367447.00;1787
231.206;367447.00;1796
232.207;367447.00;1803
233.278;367447.00;1813
234.361;367447.00;1822
235.470;367447.00;1832
236.562;367447.00;1841
237.594;367447.00;1851
238.664;367447.00;1860
239.711;367447.00;1869
240.823;367447.00;1879
241.870;367447.00;1889
242.954;367447.00;1899
244.181;367447.00;1909
245.212;367447.00;1918
246.448;367447.00;1928
247.500;367447.00;1938
248.573;367447.00;1947
249.601;367447.00;1956
250.635;367447.00;1966
251.650;367447.00;1975
252.714;367447.00;1985
253.755;367447.00;1995
254.803;367447.00;2006
255.857;367447.00;2016
256.878;367447.00;2027
257.925;367447.00;2039
259.012;367447.00;2049
260.039;367447.00;2060
261.116;367447.00;2070
262.251;367447.00;2080
263.320;367447.00;2092
264.356;367447.00;2101
265.476;367447.00;2113
266.521;367447.00;2123
267.608;367447.00;2134
268.654;367447.00;2144
269.759;367447.00;2153
270.763;367447.00;2162
271.858;367447.00;2171
272.900;367447.00;2182
273.986;367447.00;2191
275.010;367447.00;2201
276.039;367447.00;2210
277.047;367447.00;2218
278.126;367447.00;2229
279.183;367447.00;2238
280.254;367447.00;2246
281.314;367447.00;2256
